iter	Passed	Remaining
474	688	760
475	689	759
476	691	757
477	692	755
478	693	754
479	694	752
480	695	750
481	697	749
482	698	747
483	699	746
484	700	744
485	702	742
486	703	740
487	704	739
488	705	737
489	707	735
490	708	734
491	709	732
492	710	731
493	712	729
494	713	727
495	714	726
496	716	724
497	717	722
498	718	721
499	719	719
500	720	718
501	722	716
502	723	714
503	724	713
504	726	711
505	727	710
506	728	708
507	729	706
508	731	705
509	732	703
510	733	702
511	734	700
512	736	698
513	737	697
514	738	695
515	739	694
516	741	692
517	742	691
518	744	689
519	745	687
520	746	686
521	747	684
522	749	683
523	750	681
524	751	679
525	752	678
526	753	676
527	755	675
528	756	673
529	758	672
530	760	671
531	761	670
532	763	668
533	764	667
534	765	665
535	767	664
536	768	662
537	769	661
538	771	659
539	772	657
540	773	656
541	774	654
542	776	653
543	777	651
544	778	649
545	779	648
546	780	646
547	782	645
548	783	643
549	784	642
550	786	640
551	787	638
552	788	637
553	789	635
554	791	634
555	792	632
556	793	631
557	794	629
558	796	627
559	797	626
560	798	624
561	799	623
562	801	621
563	802	620
564	803	618
565	804	617
566	806	615
567	807	613
568	808	612
569	809	610
570	811	609
571	812	607
572	813	606
573	814	604
574	816	603
575	817	601
576	818	600
577	819	598
578	821	597
579	822	595
580	823	594
581	824	592
582	826	590
583	827	589
584	828	587
585	830	586
586	831	584
587	832	583
588	833	581
589	835	580
590	836	578
591	837	577
592	838	575
593	840	574
594	841	572
595	842	571
596	844	569
597	845	568
598	846	566
599	847	565
600	848	563
601	850	562
602	852	561
603	853	559
604	854	557
605	855	556
606	857	554
607	858	553
608	859	551
609	860	550
610	862	548
611	863	547
612	864	545
613	866	544
614	867	543
615	868	541
616	870	540
617	871	538
618	872	537
619	874	535
620	875	534
621	876	532
622	877	531
623	879	529
624	880	528
625	882	527
626	883	525
627	884	523
628	885	522
629	886	520
630	888	519
631	889	517
632	890	516
633	891	514
634	893	513
635	894	511
636	895	510
637	896	508
638	898	507
639	899	505
640	900	504
641	901	502
642	903	501
643	904	499
644	906	498
645	907	497
646	908	495
647	909	494
648	911	492
649	912	491
650	913	489
651	914	488
652	916	486
653	917	485
654	919	484
655	920	482
656	922	481
657	923	480
658	925	478
659	926	477
660	927	475
661	928	474
662	930	472
663	931	471
664	933	470
665	934	468
666	935	467
667	936	465
668	938	464
669	939	462
670	940	461
671	941	459
672	943	458
673	944	456
674	945	455
675	947	454
676	948	452
677	949	451
678	951	449
679	952	448
680	953	446
681	954	445
682	956	443
683	957	442
684	958	440
685	960	439
686	961	438
687	962	436
688	964	435
689	965	433
690	966	432
691	967	430
692	969	429
693	970	427
694	971	426
695	973	425
696	974	423
697	975	422
698	977	420
699	978	419
700	979	417
701	980	416
702	982	414
703	983	413
704	984	411
705	985	410
706	986	408
707	987	407
708	989	405
709	990	404
710	991	403
711	993	401
712	994	400
713	995	398
714	996	397
715	997	395
716	999	394
717	1000	392
718	1001	391
719	1002	390
720	1004	388
721	1005	387
722	1007	385
723	1008	384
724	1009	382
725	1010	381
726	1012	380
727	1013	378
728	1014	377
729	1016	375
730	1017	374
731	1018	372
732	1019	371
733	1021	370
734	1022	368
735	1023	367
736	1024	365
737	1026	364
738	1027	362
739	1028	361
740	1029	359
741	1031	358
742	1032	357
743	1033	355
744	1035	354
745	1036	352
746	1037	351
747	1038	349
748	1039	348
749	1041	347
750	1042	345
751	1043	344
752	1044	342
753	1046	341
754	1047	339
755	1048	338
756	1050	337
757	1051	335
758	1052	334
759	1053	332
760	1055	331
761	1056	329
762	1057	328
763	1059	327
764	1060	325
765	1061	324
766	1062	322
767	1064	321
768	1065	320
769	1066	318
770	1067	317
771	1069	315
772	1070	314
773	1071	312
774	1072	311
775	1074	310
776	1075	308
777	1076	307
778	1078	305
779	1079	304
780	1080	303
781	1082	301
782	1083	300
783	1084	298
784	1085	297
785	1087	295
786	1088	294
787	1089	293
788	1090	291
789	1092	290
790	1093	288
791	1094	287
792	1096	286
793	1097	284
794	1098	283
795	1099	281
796	1101	280
797	1102	279
798	1103	277
799	1104	276
800	1106	274
801	1107	273
802	1109	272
803	1111	270
804	1112	269
805	1114	268
806	1116	266
807	1117	265
808	1118	264
809	1119	262
810	1121	261
811	1122	259
812	1123	258
813	1125	257
814	1126	255
815	1127	254
816	1128	252
817	1129	251
818	1130	249
819	1132	248
820	1133	247
821	1134	245
